Achilles tendon stress,Ankle plantar/dorsiflexion angle,Ankle in/eversion angle,Ankle in/external rotation angle,Ankle plantar/dorsiflexion moment,Ankle in/eversion moment,Ankle power,A/P GRF,M/L GRF,Hip flex/extension angle,Hip in/external rotation angle,Hip in/external rotation moment,Knee flex/extension angle,Knee in/external rotation angle,Ipsi/contralateral pelvis rotation,EMG activation for peroneus longus
36.71217347,8.31742,4.39845,-22.9622,2.25576,0.198309,-16.115,0.391621,-0.632331,38.8476,15.228,-0.117235,34.2929,-0.966968,3.42924,0.997592817
13.07945633,10.857,4.56702,-23.7179,2.7667,0.225668,-19.7565,0.42569,-1.95419,37.1372,14.9868,-0.12821,33.9137,-0.194257,3.48663,0.996117447
8.948770329,13.3553,4.73062,-24.443,3.19194,0.259313,-21.9014,0.641933,-1.62691,35.5115,14.7468,-0.160693,33.5644,0.570874,3.46488,0.994593545
7.157403415,15.7184,4.88217,-25.107,3.51948,0.285691,-22.5353,0.575438,-0.906095,33.9473,14.5214,-0.160786,33.2407,1.30345,3.35853,0.992904635
8.774745298,14.1165,3.49166,-18.7508,3.51366,0.325477,31.5243,-0.744416,-7.15623,7.03133,14.3693,0.00703211,26.0917,-2.11273,0.659772,0.937243388
14.38247473,10.9851,3.07752,-16.7505,3.15024,0.297313,32.3209,-0.724493,-7.27538,4.86784,14.274,-0.00308916,25.0298,-3.91536,0.920522,0.928216452
5.263950629,8.79667,1.66761,-16.9068,0.542248,-0.0964475,-2.36589,1.11862,2.00306,43.8959,10.5143,-0.24654,34.9761,-0.707514,-0.608896,0.995556224
4.877538633,10.6226,1.77293,-17.8054,1.10463,-0.128577,-5.20017,1.11334,0.284977,42.265,10.8516,-0.255372,35.1937,-0.0783186,-0.806735,0.997215875
4.289321925,12.6118,1.88649,-18.7643,1.54097,-0.197297,-7.70295,0.706964,-1.28233,40.6372,11.2751,-0.199765,35.5217,0.612508,-1.0088,0.998532772
4.249148882,17.0602,2.05655,-20.1798,2.76077,-0.0497526,22.5878,0.206691,-5.65981,4.86254,19.2958,-0.116199,23.2431,-1.67629,0.875059,0.904359591
5.458906657,14.063,1.82754,-18.2678,2.4838,-0.0435005,23.7209,0.225414,-5.54868,2.26045,18.7745,-0.111089,21.1028,-3.30037,1.30041,0.891346963
9.604865827,10.6028,1.57874,-16.1417,2.16246,-0.0425501,23.4501,0.239172,-5.28575,-0.326358,18.3292,-0.101695,18.8712,-5.06103,1.71144,0.877209862
